Question,Answer,,Question,Answer,,Question,Answer
"According to the Association for Dressings and Sauces, what is the most popular salad dressing in the U.S.?",RANCH,,Someone who is constantly at the gym is known by what unflattering name?,GYM RAT,,"Launched in 1964, Kellogg’s pop tarts were named for “pop art,” a movement popularized by whom?",ANDY WARHOL
"According to the book of Exodus,which of these was not one of the ten plagues God inflicted on ancient Egypt?",TEMPLES TURNED TO SAND,,Someone who is naive or gullible is often described as having “fallen off the” what?,TURNIP TRUCK,,"Launched in 1978,Simon is an electronic memory game consisting of four buttons in all but which of these colors?",ORANGE
"According to the Bridal Association of America,what wedding ceremony participant walks down the aisle holding a pillow?",RING BEARER,,Someone who is “lily-livered” exhibits what unflattering trait?,COWARDICE,,"Launched in 1993,Miu Miu is an offshoot of what upscale fashion label?",PRADA
"According to the Catholic Church,what was the name of the very first Pope?",PETER,,Someone who performs a handspring properly will finish by landing on what part of his or her body?,FEET,,"Launched in 2005,the Girl Detective Super Mystery series stars what beloved children’s book character?",NANCY DREW
"According to the classic show about Kevin Arnold,which years were “The Wonder Years”?",1968 TO 1973,,Someone who repeatedly tries to revive interest in a hopeless issue is said to be “beating a” what?,DEAD HORSE,,"Launched in 2010, Cupidtino is an online dating site that connects fans of what company’s products?",APPLE
"According to the Constitution, the U.S. vice president also serves as the what?",PRESIDENT OF THE SENATE,,Someone who “views the world though rose-colored glasses” is unusually what?,OPTIMISTIC,,"Launched in 2010, Michelle Obama’s initiative, “Let’s Move” brings awareness to what childhood issue?",OBESITY
"According to the Constitution,a U.S. senator elected in 2010 will be up for reelection in what year?",2016,,"Sometimes taking human form, the “smoke monster” is a mysterious character on what TV drama?",LOST,,"Led by saxophonist Cleto Escobedo III,what late night talk show features the house band “Cleto and the Cletones”?",JIMMY KIMMEL LIVE!
"According to the Dept. of Education,more degrees are earned in what undergraduate major than in any other?",BUSINESS,,"Sometimes used with historical dates, the abbreviation “B.C.E.” stands for “Before the Common” what?",ERA,,"Legendary for his skill at pitching ringers,Alan Francis is widely considered the best player ever in what sport?",HORSESHOES
"According to the intro of a classic 1950s TV series,who fights “for truth,justice,and the American way”?",SUPERMAN,,Song parodist Alfred Matthew Yankovic is better known by what nickname?,WEIRD AL,,Legendary Scottish hero William Wallace is the subject of what 1995 Mel Gibson movie?,BRAVEHEART
"According to the Irish playwright George Bernard Shaw,”He who can,does. He who cannot,” does what?",TEACHES,,"Sort of in between two colors, rose wine by definition has what type of hue?",PINKISH,,Leonardo da Vinci wrote his famous notebooks mainly using what unusual method?,MIRROR WRITING
"According to the lyrics of a 1964 song,the girl from Ipanema is “tall and thin and young and” what?",LOVELY,,Soviet Lt. General Mikhail Kalashnikov is today best remembered for inventing a widely used type of what?,ASSAULT RIFLE,,"Less common than its counterpart,”centenary” is an alternate term for what anniversary?",100TH *CORRECT*
"According to the lyrics of his 1973 hit song,Jim Croce wishes he “could save” what “in a bottle”?",TIME,,"Specializing in grilled cheese sandwiches,the Arkansas food truck Grillenium Falcon pays homage to what film franchise?",STAR WARS,,"Like Chevrolet’s Volt, Nissan offers a 100% electric car with what “green” name?",LEAF
"According to the National Severe Storms Laboratory,about how wide across is a cloud-to-ground lightning bolt?",ONE INCH,,Spider Spud and Optimash Prime are movie-themed updates of what classic toy?,MR. POTATO HEAD,,"Like George Foreman,boxer Evander Holyfield released what type of kitchen gadget in 2007?",GRILL
"According to the OED,which of these shoe names also describes a person “who spends his time in idleness”?",LOAFER,,"Sported by celebrities like Billy Ray Cyrus, a “soul patch” is a type of what?",BEARD,,"Like graffiti,”scratchiti” is a form of what misconduct?",VANDALISM
"According to the old sports saying,”The best defense is a good” what?",OFFENSE,,"Standard issue for sailors and preppies,which of these shoes was designed to be worn on boats?",TOP-SIDERS,,"Like his father was before him, Ziggy Marley is a prolific artist in what music genre?",REGGAE
"According to the results of the 2010 Census,what is the approximate population of the United States?",309 MILLION,,"Starring Bruce Willis, the 2010 film “RED” features CIA agents who are “Extremely Dangerous” as well as what?",RETIRED,,"Like Indiana Jones, which of these action movie heroes is an archaeologist?",LARA CROFT
"According to the term’s rough translation,the vegetable and grain-heavy “macrobiotic diet” purports to offer a what?",LONG LIFE,,"Starring Jack Black, the 2010 3D comedy “Gulliver’s Travels” is a twist on whose classic tale?",JONATHAN SWIFT,,"Like Ronald Reagan,which of these U.S. presidents had the same first and last name initials?",HOOVER
"According to the title of a cable sitcom featuring Danny DeVito, “It’s Always Sunny In” what U.S. city?",PHILADELPHIA,,"Starring Jeff Bridges,the 2010 film “True Grit” is a reworking of a 1969 film that won what actor his only Oscar?",JOHN WAYNE,,"Like the Broadway musical,the 2008 movie “Mamma Mia!” showcases the music of what group?",ABBA
"According to the title of a popular folk song, what animal is “in the Straw”?",TURKEY,,"Starring Rob Lowe,the 2012 Lifetime movie “Drew Peterson: Untouchable” is about a man accused of what heinous crime?",MURDERING HIS WIFE,,"Like the Lincoln Memorial,which of these world landmarks also overlooks a man-made reflecting pool?",TAJ MAHAL
"According to the U.S. Naval Observatory, the average length of a calendar year is 365 days and what?","5 HRS, 49 Min, 12 SEC",,"Starting a Victorian fad diet craze,Horace “The Great Masticator” Fletcher said weight could be lost simply by doing what?",CHEWING,,"Like The New York Times, most newspapers run their hardest crossword puzzle on what day?",SATURDAY
"According to the U.S. State Dept,127 of the world’s 193 countries have what word in their names?",REPUBLIC,,"Starting from the bottom, what is the order of colors found in traditional candy corn?","YELLOW, ORANGE, WHITE",,"Like the tomato, which of the following is usually considered to be a vegetable but is really a fruit?",ZUCCINI
"According to their ’80s heavy metal anthem,the Scorpions want to “Rock You Like a” what?",HURRICANE,,Steak tartare consists of seasoned beef served in what distinctive manner?,UNCOOKED,,"Like TV’s “Lost,” which of these movies features a fictional airline called “Oceanic”?",EXECUTIVE DECISION
"According to U.S. law,what “should never be carried flat or horizontally,but always aloft and free”?",U.S. FLAG,,"Steffi Graf,Jennifer Capriati and Lindsay Davenport have all won Olympic gold medals in what sport?",TENNIS,,"Like “screwdriver,” which of these words refers to both a tool and a type of cocktail?",GIMLET
"According to Urban Dictionary, “cookie duster” is a playful term for a what?",MUSTACHE,,Stephen King’s short story “The Body” was the basis for what popular ’80s movie?,STAND BY ME,,Limestone that has been heated and pressurized eventually turns into what building material?,MARBLE
Acting legend Meryl Streep made her film debut in 1977 in what Oscar-nominated film?,JULIA,,"Steve Martin,Chevy Chase and Martin Short don sombreros on the movie poster for what 1986 comedy?",THREE AMIGOS!,,Lipase is a digestive enzyme used by the body to break down what food component?,FAT
Actor Matthew Perry shares his first and last name with a famous American who held what U.S. post?,COMMODORE OF THE NAVY,,"Still popular today,C.M. Coolidge’s famous paintings of dogs playing poker were originally advertisements for what?",CIGARS,,Listenership is the term often used to refer to which type of media?,RADIO
Actor Paul Rudd had roles in all but which of the following comedy blockbusters?,THE HANGOVER,,"Strike one the umpire said,” is a line from what famous poem?",CASEY AT THE BAT,,"Literally meaning “on the iron,” “a la plancha” is a Spanish term for what method of cooking?",GRILLING
"Actors who gain weight for roles are often compared to Robert De Niro,who packed on 60 pounds for what Scorsese film?",RAGING BULL,,"Struggling with health issues,what author had the habit of penciling in a daily weight record on his bathroom wall?",ERNEST HEMINGWAY,,"LL Cool J once jokingly teased he was “too sexy for Barbara,” during an appearance on what talk show?",THE VIEW
"Actress Christine Baranski guest stars as Dr. Beverly Hofstadter,Leonard’s mom,on what TV sitcom?",THE BIG BANG THEORY,,"Substituting basketball for battle,the musical Lysistrata Jones is an adaptation of an ancient Greek play by whom?",ARISTOPHANES,,Loaded dice would give an unfair advantage to players of which of these casino games?,CRAPS
Actress Estelle Getty is best remembered for a TV role in which she always did which of the following?,WORE A WIG,,Subway performer and 2010 “America’s Got Talent’ contestant Alice Tan Ridley is the talented mother of what actress?,GABOUREY SIDIBE,,"Located in Atlanta,the King Center honors what famous American?","MARTIN LUTHER KING, JR."
